Hotel_Name,Hotel_Address,Additional_Number_of_Scoring,Average_Score,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,lat,lng
Park Plaza Vondelpark Amsterdam,Koninginneweg 34 36 Oud Zuid 1075 CZ Amsterdam Netherlands,313,7.5,15006,2176,9954,52.3542655,4.8664365
Hotel Bagu s,La Rambla 105 Ciutat Vella 08002 Barcelona Spain,76,8.9,1341,390,2261,41.3827894,2.1715636
Hotel 1898,La Rambla 109 Ciutat Vella 08002 Barcelona Spain,221,9.2,7081,1436,8497,41.3834673,2.1712016
Hotel Serhs Rivoli Rambla,La Rambla 128 Ciutat Vella 08002 Barcelona Spain,226,8.1,6822,1957,4953,41.3843222,2.1712893
Eurostars Ramblas,La Rambla 22 24 Ciutat Vella 08002 Barcelona Spain,223,8.2,5891,1878,4699,41.3780983,2.1762005
Hilton London Wembley,Lakeside Way Brent London HA9 0BU United Kingdom,1427,8.8,42953,4305,33446,51.5576962,-0.2835263
Corus Hotel Hyde Park,Lancaster Gate Westminster Borough London W2 3LG United Kingdom,452,7.6,26154,2562,15084,51.5119446,-0.179939
London Elizabeth Hotel,Lancaster Terrace Hyde Park Westminster Borough London W2 3PF United Kingdom,84,7,6968,618,3634,51.5120219,-0.1762414
Lancaster London,Lancaster Terrace Westminster Borough London W2 2TY United Kingdom,365,8.3,11934,1463,10630,51.5119446,-0.179939
Hotel Daniel Vienna,Landstra er G rtel 5 03 Landstra e 1030 Vienna Austria,101,8.5,5558,1405,5491,NA,NA
Eurostars Embassy,Landstra er Hauptstra e 120 03 Landstra e 1030 Vienna Austria,99,8.4,2586,1442,2946,48.1964001,16.3958668
BEST WESTERN PLUS Amedia Wien,Landstra er Hauptstra e 155 03 Landstra e 1030 Vienna Austria,272,8.4,6663,3224,7456,48.1923791,16.3994512
Mercure Grand Hotel Biedermeier Wien,Landstra er Hauptstra e 28 03 Landstra e 1030 Vienna Austria,104,8.4,2967,1028,3355,48.2038688,16.3887039
Hotel Rathaus Wein Design,Lange Gasse 13 08 Josefstadt 1080 Vienna Austria,164,9.3,3618,1120,8456,48.2075294,16.3525967
NH Collection Milano President,Largo Augusto 10 Milan City Center 20122 Milan Italy,398,8.7,9730,3754,11167,45.4630685,9.1979367
Hotel Dieci,Largo Rio de Janeiro 12 Citt Studi 20133 Milan Italy,37,8.1,678,458,882,45.4738012,9.2239702
Royal Ramblas,Las Ramblas 117 Ciutat Vella 08002 Barcelona Spain,415,8.4,10430,3340,10453,41.3842838,2.1707092
Best Western Blue Tower Hotel,Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands,587,7.4,19751,3869,14056,52.3793659,4.8457179
Hampshire Hotel Amsterdam American,Leidsekade 97 Amsterdam City Center 1017 PN Amsterdam Netherlands,601,8.5,25349,4032,23396,52.363889,4.881302
Ilunion Bel Art,Lepanto 406 Horta Guinard 08025 Barcelona Spain,35,7.9,1492,353,1103,41.4101934,2.1695574
25hours Hotel beim MuseumsQuartier,Lerchenfelder Stra e 1 3 07 Neubau 1070 Vienna Austria,391,8.8,11135,4324,15097,48.2064745,16.3546297
Hotel Topazz,Lichtensteg 3 01 Innere Stadt 1010 Vienna Austria,101,8.7,2986,809,3187,48.210285,16.373579
Hampshire Hotel The Manor Amsterdam,Linnaeusstraat 89 Oost 1093 EK Amsterdam Netherlands,301,8.3,7622,1939,10759,52.3591467,4.9263601
Hotel Kavalier,Linzer Stra e 165 14 Penzing 1140 Vienna Austria,185,8,6784,3333,4623,48.1940487,16.2971831
Ofelias Hotel 4 Sup,Llan 24 Eixample 08015 Barcelona Spain,53,8.6,1810,343,2052,41.3957584,2.1822402
Vincci Maritimo,Llull 340 Sant Mart 08019 Barcelona Spain,169,8.3,6373,2573,6013,41.4082054,2.2124626
London Marriott Hotel County Hall,London County Hall Westminster Bridge Road Lambeth London SE1 7PB United Kingdom,104,8.5,5056,573,4161,51.5016102,-0.1191545
The Level at Melia Barcelona Sky,Lope de Vega 141 Sant Mart 08005 Barcelona Spain,16,8.6,566,94,535,41.406146,2.2008636
Eurohotel Diagonal Port,Lope de Vega 4 Sant Mart 08005 Barcelona Spain,24,7,1182,334,705,41.4006708,2.2087844
Hotel Derby,Loreto 21 25 Les Corts 08029 Barcelona Spain,76,8,928,808,934,41.3897735,2.1419762
Hotel Gran Derby Suites,Loreto 28 Les Corts 08029 Barcelona Spain,33,8.5,1253,470,1210,41.3900104,2.1422396
Jumeirah Lowndes Hotel,Lowndes Street Kensington and Chelsea London SW1X 9ES United Kingdom,205,8.6,2138,587,2049,51.4993652,-0.1576613
Catalonia Magdalenes,Magdalenes 13 15 Ciutat Vella 08002 Barcelona Spain,116,9.4,3573,1108,9195,41.3861283,2.1745291
Expo Hotel Barcelona,Mallorca 1 23 Sants Montju c 08014 Barcelona Spain,390,7.6,16320,4646,14416,41.3792053,2.1427989
The Corner Hotel,Mallorca 178 Eixample 08036 Barcelona Spain,53,9.3,1327,460,2761,41.3890578,2.1565948
Best Western Premier Hotel Dante,Mallorca 181 Eixample 08036 Barcelona Spain,115,8.4,2774,1130,3135,41.3894195,2.1564886
Hotel Balmes,Mallorca 216 Eixample 08008 Barcelona Spain,98,8.5,4263,931,4474,41.3910621,2.1593373
Alexandra Barcelona A DoubleTree by Hilton,Mallorca 251 Eixample 08008 Barcelona Spain,46,8.3,2053,351,949,41.3931918,2.16152
Alma Barcelona GL,Mallorca 269 271 Eixample 08008 Barcelona Spain,87,9.2,2335,593,3579,41.3945074,2.1632659
Room Mate Carla,Mallorca 288 Eixample 08037 Barcelona Spain,122,8.9,3978,1257,5619,41.3962658,2.1662153
The Mandeville Hotel,Mandeville Place Westminster Borough London W1U 2BE United Kingdom,495,8.5,13388,2300,12601,51.5165165,-0.1509735
Hallmark Hotel London Chigwell Prince Regent,Manor Road London IG8 8AE United Kingdom,227,6.9,14851,747,5370,51.6068054,0.0590416
Upper Diagonal,Manuel Girona 7 21 Sarri St Gervasi 08034 Barcelona Spain,68,8.8,2200,868,2648,41.39038,2.121
Falkensteiner Hotel Wien Margareten,Margareteng rtel 142 05 Margareten 1050 Vienna Austria,84,8.9,3114,1218,3454,48.1868107,16.3440157
Holiday Inn Vienna City,Margaretenstra e 53 05 Margareten 1050 Vienna Austria,52,8.7,734,385,1260,48.1935593,16.3616098
pentahotel Vienna,Margaretenstra e 92 05 Margareten 1050 Vienna Austria,63,8.5,2312,805,2080,48.1899743,16.3567007
IntercityHotel Wien,Mariahilfer Stra e 122 Ecke Kaiserstra e 1 3 07 Neubau 1070 Vienna Austria,190,8.5,6043,3003,7626,48.1965878,16.3413729
Boutiquehotel Das Tyrol,Mariahilfer Stra e 15 06 Mariahilf 1060 Vienna Austria,53,9.4,1050,501,3414,48.2008957,16.3592496
NH Wien City,Mariahilfer Stra e 32 34 07 Neubau 1070 Vienna Austria,137,8.4,4158,1538,3847,48.2002872,16.3547746
Hotel Corvinus,Mariahilfer Stra e 57 59 06 Mariahilf 1060 Vienna Austria,64,8.5,1335,581,2062,48.1990335,16.3525051
NH Collection Wien Zentrum,Mariahilfer Stra e 78 07 Neubau 1070 Vienna Austria,164,8.9,4265,1887,5594,48.1979979,16.3483314
Aparthotel Mariano Cubi Barcelona,Mariano Cubi 62 64 Sarri St Gervasi 08006 Barcelona Spain,50,8.3,2036,635,1449,41.3982129,2.1494179
Hotel Arts Barcelona,Marina 19 21 08005 Barcelona Spain,219,8.8,6887,1350,4406,41.3865424,2.1969665
Leonardo Hotel Vienna,Matrosengasse 6 8 06 Mariahilf 1060 Vienna Austria,387,8.1,15501,6373,11177,48.1945297,16.340327
JUFA Hotel Wien,Mautner Markhof Gasse 50 11 Simmering 1110 Vienna Austria,275,8.5,6916,3748,7090,48.1756283,16.4200957
Golden Tulip Amsterdam West,Molenwerf 1 1014 AG Amsterdam Netherlands,914,8.5,30655,7586,34589,52.385601,4.8470597
Eurostars Grand Marina Hotel GL,Moll de Barcelona WTC Ciutat Vella 08039 Barcelona Spain,666,8.5,22471,4559,16564,41.371308,2.181698
Pakat Suites Hotel,Mommsengasse 5 04 Wieden 1040 Vienna Austria,68,8.6,2052,664,1582,48.19183,16.3770876
Guitart Grand Passage,Muntaner 212 Eixample 08036 Barcelona Spain,79,8.1,3402,867,2897,41.3936071,2.1504611
Hotel Rekord,Muntaner 352 Sarri St Gervasi 08021 Barcelona Spain,28,8.1,871,461,1232,41.3985449,2.1438237
Catalonia Barcelona 505,Muntaner 505 Sarri St Gervasi 08022 Barcelona Spain,78,8.2,2357,1013,2401,41.4034965,2.1370426
Mercure Amsterdam Sloterdijk Station,Naritaweg 1 Westpoort 1043 BP Amsterdam Netherlands,498,8.6,14365,3643,16518,52.3872884,4.8349748
DoubleTree by Hilton Hotel Amsterdam NDSM Wharf,Ndsm Plein 28 Amsterdam Noord 1033 WB Amsterdam Netherlands,170,8.2,7770,1593,6121,52.4001813,4.8936653
Hotel V Nesplein,Nes 49 Amsterdam City Center 1012 KD Amsterdam Netherlands,293,9.1,6950,1650,11173,52.3711037,4.8936787
Fleming s Conference Hotel Wien,Neubaug rtel 26 28 07 Neubau 1070 Vienna Austria,108,8.5,5058,2080,4490,48.1995177,16.3388225
ARCOTEL Wimberger,Neubaug rtel 34 36 07 Neubau 1070 Vienna Austria,106,8.2,2976,1886,2954,48.2006001,16.3386333
